Id,Tipo,Titulo,DataFechamento,ResponsavelNoFechamento,LeadTimeDias,CycleTimeDias,DataPrimeiroActive
6499,User Story,EVENTO - Fornecimento não realizado com pagamento antecipado,2026-05-15T10:56:59.367Z,Fabio Nobre,272.75,14.98,2026-04-30T11:22:08.653Z
7505,User Story,Refatorar Relatório 335,2026-05-15T11:00:01.240Z,Fabio Nobre,233.64,17.99,2026-04-27T11:20:45.993Z
12618,User Story,Redução de complexidade,2026-05-07T10:42:28.590Z,Paulo A. Lot,91.75,,
13070,Bug,Falha na consulta rápida da base do Compliance Fiscal,2026-05-14T18:34:38.680Z,Julio Andreata,85.19,9.16,2026-05-05T14:44:03.623Z
13111,User Story,Arquivos não estão subindo automaticamente no portal do contador,2026-05-15T10:57:29.310Z,maykon.elias,85,17.47,2026-04-27T23:38:02.453Z
13282,Bug,Consulta rápida de dados - Consulta SQL dispara exceção apenas no ambiente web,2026-05-05T10:47:43.943Z,maykon.elias,70.65,10.83,2026-04-24T14:58:25.690Z
13344,User Story,Visualizar preços por combustível e empresa em relatório unificado,2026-05-07T14:02:30.117Z,Fabio Nobre,71.75,9.05,2026-04-28T12:55:07.970Z
13674,User Story,Exibição de Versionamento Completo do Sistema MetaNet,2026-05-15T10:56:36.743Z,maykon.elias,71.7,3.95,2026-05-11T12:01:53.883Z
13789,Bug,[Testes release Alfa 03/03/2026] - Metaposto/Mdfe - Após cria uma cópia de um MDFE e tentar salvar ou salvar/processar dispara exceção,2026-05-21T14:41:08.783Z,Fabio Nobre,75.72,8.1,2026-05-13T12:21:36.800Z
13998,User Story,Ajustar tratamento de CNPJ/Documento para aceitar identificadores alfanuméricos,2026-05-11T19:57:32.887Z,maykon.elias,60.25,6.28,2026-05-05T13:14:35.507Z
14367,Bug,"Falha na emissão de NF-e de venda futura com tipo de preço ""ultimo custo""",2026-04-28T11:37:54.620Z,Rodolfo Caceraghi dos Santos,39.61,5.87,2026-04-22T14:39:12.500Z
14432,User Story,PDV/NFCE- NFCE em contingência(ns) - REJ 558 xml de retorno,2026-05-11T19:34:18.740Z,NENHUM,51.88,,
14436,User Story,Otimizar exclusão de local de estoque e exibir confirmação de sucesso,2026-05-04T12:19:22.923Z,Julio Andreata,44.46,9.97,2026-04-24T12:59:52.643Z
14790,User Story,Refatorar consulta do Relatório 369 para otimização de performance,2026-05-15T11:00:48.673Z,Fabio Nobre,45.94,3,2026-05-12T10:57:31.713Z
14846,Bug,NF-e de devolução - Não houve estorno de estoque do insumo (produto composto),2026-04-22T17:53:47.053Z,Luiz Fernando Rodrigues Pereira,22.81,22.03,2026-03-31T17:07:49.497Z
14847,Bug,Ao salvar e processar NF-e de Transferência de saldo credor de ICMS o valor é zerado,2026-04-22T17:54:32.250Z,Rodolfo Caceraghi dos Santos,22.8,15.25,2026-04-07T11:51:07.517Z
14849,User Story,Diferença LMC x Sped Fiscal - Registro 1310,2026-05-15T11:01:52.097Z,Leandro Andrade,45.51,38.51,2026-04-06T22:46:17.740Z
15052,User Story,Inclusão de mensagem obrigatória na NF-e,2026-04-22T17:58:34.953Z,Fabio Nobre,20.82,14.27,2026-04-08T11:24:21.960Z
